+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 | 10 |       NEW |     READY |
|                 0 | 10 |     READY |   RUNNING |
|                 1 | 10 |   RUNNING |   WAITING |
|                 3 | 10 |   WAITING |     READY |
|                 3 | 10 |     READY |   RUNNING |
|                 4 | 10 |   RUNNING |   WAITING |
|                 6 | 10 |   WAITING |     READY |
|                 6 | 10 |     READY |   RUNNING |
|                 7 | 10 |   RUNNING |   WAITING |
|                 9 | 10 |   WAITING |     READY |
|                 9 | 10 |     READY |   RUNNING |
|                10 |  5 |       NEW |     READY |
|                10 | 10 |   RUNNING |   WAITING |
|                10 |  5 |     READY |   RUNNING |
|                11 |  5 |   RUNNING |   WAITING |
|                12 | 10 |   WAITING |     READY |
|                12 | 10 |     READY |   RUNNING |
|                13 | 10 |   RUNNING |   WAITING |
|                14 |  5 |   WAITING |     READY |
|                14 |  5 |     READY |   RUNNING |
|                15 | 10 |   WAITING |     READY |
|                15 |  5 |   RUNNING |   WAITING |
|                15 | 10 |     READY |   RUNNING |
|                16 | 10 |   RUNNING |   WAITING |
|                18 |  5 |   WAITING |     READY |
|                18 | 10 |   WAITING |     READY |
|                18 |  5 |     READY |   RUNNING |
|                19 |  5 |   RUNNING |   WAITING |
|                19 | 10 |     READY |   RUNNING |
|                20 |  1 |       NEW |     READY |
|                20 | 10 |   RUNNING |   WAITING |
|                20 |  1 |     READY |   RUNNING |
|                21 |  1 |   RUNNING |   WAITING |
|                22 |  5 |   WAITING |     READY |
|                22 | 10 |   WAITING |     READY |
|                22 |  5 |     READY |   RUNNING |
|                23 |  1 |   WAITING |     READY |
|                23 |  5 |   RUNNING |   WAITING |
|                23 |  1 |     READY |   RUNNING |
|                24 |  1 |   RUNNING |   WAITING |
|                24 | 10 |     READY |   RUNNING |
|                25 | 10 |   RUNNING |   WAITING |
|                26 |  5 |   WAITING |     READY |
|                26 |  1 |   WAITING |     READY |
|                26 |  1 |     READY |   RUNNING |
|                27 | 10 |   WAITING |     READY |
|                27 |  1 |   RUNNING |   WAITING |
|                27 |  5 |     READY |   RUNNING |
|                28 |  5 |   RUNNING |   WAITING |
|                28 | 10 |     READY |   RUNNING |
|                29 |  1 |   WAITING |     READY |
|                29 | 10 |   RUNNING |   WAITING |
|                29 |  1 |     READY |   RUNNING |
|                30 |  1 |   RUNNING |   WAITING |
|                31 |  5 |   WAITING |     READY |
|                31 | 10 |   WAITING |     READY |
|                31 |  5 |     READY |   RUNNING |
|                32 |  1 |   WAITING |     READY |
|                32 |  5 |   RUNNING |   WAITING |
|                32 |  1 |     READY |   RUNNING |
|                33 |  1 |   RUNNING |   WAITING |
|                33 | 10 |     READY |   RUNNING |
|                34 | 10 |   RUNNING |   WAITING |
|                35 |  5 |   WAITING |     READY |
|                35 |  1 |   WAITING |     READY |
|                35 |  1 |     READY |   RUNNING |
|                36 | 10 |   WAITING |     READY |
|                36 |  1 |   RUNNING |   WAITING |
|                36 |  5 |     READY |   RUNNING |
|                37 |  5 |   RUNNING |   WAITING |
|                37 | 10 |     READY |   RUNNING |
|                38 |  1 |   WAITING |     READY |
|                38 | 10 |   RUNNING |   WAITING |
|                38 |  1 |     READY |   RUNNING |
|                39 |  1 |   RUNNING |   WAITING |
|                40 |  5 |   WAITING |     READY |
|                40 | 10 |   WAITING |     READY |
|                40 |  5 |     READY |   RUNNING |
|                41 |  1 |   WAITING |     READY |
|                41 |  5 |   RUNNING |   WAITING |
|                41 |  1 |     READY |   RUNNING |
|                43 |  1 |   RUNNING |   WAITING |
|                43 | 10 |     READY |   RUNNING |
|                44 |  5 |   WAITING |     READY |
|                44 | 10 |   RUNNING |   WAITING |
|                44 |  5 |     READY |   RUNNING |
|                45 |  1 |   WAITING |     READY |
|                45 |  5 |   RUNNING |   WAITING |
|                45 |  1 |     READY |   RUNNING |
|                46 | 10 |   WAITING |     READY |
|                46 |  1 |   RUNNING |   WAITING |
|                46 | 10 |     READY |   RUNNING |
|                47 | 10 |   RUNNING |   WAITING |
|                48 |  5 |   WAITING |     READY |
|                48 |  1 |   WAITING |     READY |
|                48 |  1 |     READY |   RUNNING |
|                49 | 10 |   WAITING |     READY |
|                49 |  1 |   RUNNING |   WAITING |
|                49 |  5 |     READY |   RUNNING |
|                50 |  5 |   RUNNING |   WAITING |
|                50 | 10 |     READY |   RUNNING |
|                51 |  1 |   WAITING |     READY |
|                51 | 10 |   RUNNING |   WAITING |
|                51 |  1 |     READY |   RUNNING |
|                52 |  1 |   RUNNING |   WAITING |
|                53 |  5 |   WAITING |     READY |
|                53 | 10 |   WAITING |     READY |
|                53 |  5 |     READY |   RUNNING |
|                54 |  1 |   WAITING |     READY |
|                54 |  5 |   RUNNING |   WAITING |
|                54 |  1 |     READY |   RUNNING |
|                55 |  1 |   RUNNING |   WAITING |
|                55 | 10 |     READY |   RUNNING |
|                56 | 10 |   RUNNING |   WAITING |
|                57 |  5 |   WAITING |     READY |
|                57 |  1 |   WAITING |     READY |
|                57 |  1 |     READY |   RUNNING |
|                58 | 10 |   WAITING |     READY |
|                58 |  1 |   RUNNING |   WAITING |
|                58 |  5 |     READY |   RUNNING |
|                59 |  5 |   RUNNING |   WAITING |
|                59 | 10 |     READY |   RUNNING |
|                60 |  1 |   WAITING |     READY |
|                60 | 10 |   RUNNING |   WAITING |
|                60 |  1 |     READY |   RUNNING |
|                61 |  1 |   RUNNING |   WAITING |
|                62 |  5 |   WAITING |     READY |
